,x,y,z,flag
0,94.55,46.06,22.79,1.0
1,98.81,117.14,90.27,2.0
2,3.05,46.11,22.31,3.0
3,81.25,138.7,36.94,4.0
4,105.34,98.12,42.25,5.0
5,23.64,39.95,105.36,6.0
6,16.11,82.65,51.49,7.0
7,136.45,109.63,77.42,8.0
8,122.84,63.42,9.55,9.0
9,39.89,80.51,12.16,10.0
10,110.77,122.96,37.33,11.0
11,14.47,80.88,48.45,12.0
12,92.86,121.41,102.92,13.0
13,136.1,53.81,97.29,14.0
14,100.89,9.47,108.02,15.0
15,71.96,82.5,109.93,16.0
16,126.29,87.58,112.79,17.0
17,53.4,110.04,99.15,18.0
18,106.86,100.26,60.81,19.0
19,24.97,67.96,115.28,20.0
20,134.06,8.33,35.82,21.0
21,64.51,6.94,78.54,22.0
22,74.11,119.11,106.71,23.0
23,9.62,7.76,44.58,24.0
24,14.53,79.37,49.3,12.0
25,141.16,109.44,70.32,25.0
26,84.9,120.39,84.66,26.0
27,81.89,86.69,36.15,27.0
28,91.83,49.95,132.29,28.0
29,64.75,110.65,117.55,29.0
30,81.54,83.39,95.22,30.0
31,109.86,106.21,76.95,31.0
32,76.13,107.09,108.36,32.0
33,81.25,32.55,6.59,33.0
34,130.73,94.45,21.24,34.0
35,61.45,120.07,61.77,35.0
36,61.51,123.37,72.63,36.0
37,37.81,107.19,8.36,37.0
38,118.57,98.25,80.56,38.0
39,106.81,78.38,122.15,39.0
40,49.78,26.21,50.44,40.0
41,18.81,7.64,60.41,41.0
42,40.91,35.84,31.3,42.0
43,125.27,118.06,51.48,43.0
44,116.85,67.54,67.24,44.0
45,42.55,83.02,64.06,45.0
46,126.37,31.96,93.43,46.0
47,42.24,36.4,31.63,42.0
48,115.05,97.91,139.96,47.0
49,92.84,31.3,102.24,48.0
50,12.92,32.52,12.5,49.0
51,130.34,39.86,124.85,50.0
52,137.85,53.8,60.11,51.0
53,58.68,43.26,85.14,52.0
54,22.03,107.89,19.37,53.0
55,101.11,42.26,31.09,54.0
56,50.25,124.96,0.36,55.0
57,76.23,101.28,68.47,56.0
58,59.95,40.98,116.95,57.0
59,61.07,15.85,82.05,58.0
60,126.63,76.79,54.11,59.0
61,137.95,103.76,113.22,60.0
62,70.19,88.11,64.87,61.0
63,121.43,48.28,20.74,62.0
64,108.53,0.62,26.25,63.0
65,75.71,106.53,19.96,64.0
66,64.67,115.62,85.45,65.0
67,134.34,127.65,70.15,66.0
68,22.31,16.62,34.48,67.0
69,56.92,70.78,133.48,68.0
70,36.98,1.04,76.58,69.0
71,97.5,48.95,7.63,70.0
72,128.7,57.38,62.56,71.0
73,78.13,123.52,99.41,72.0
74,29.85,15.74,102.17,73.0
75,20.64,86.81,44.02,74.0
76,24.01,100.62,87.43,75.0
77,100.36,137.59,82.52,76.0
78,134.18,23.44,26.06,77.0
79,99.41,32.77,126.26,78.0
80,92.35,46.08,48.61,79.0
81,43.84,103.96,23.58,80.0
82,102.53,48.4,9.03,81.0
83,120.74,96.84,81.73,38.0
84,99.55,32.65,103.82,82.0
85,2.37,6.74,62.74,83.0
86,52.81,76.27,17.8,84.0
87,50.95,124.09,0.22,55.0
88,109.38,107.88,77.01,31.0
89,36.79,19.49,26.39,85.0
90,108.98,61.14,115.41,86.0
91,130.17,19.96,121.11,87.0
92,64.74,51.77,90.58,88.0
93,130.32,59.92,60.92,89.0
94,79.87,127.78,92.4,90.0
95,51.58,122.65,27.62,91.0
96,17.66,62.38,103.1,92.0
97,69.62,119.34,111.08,93.0
98,10.88,8.73,74.0,94.0
99,6.9,43.32,7.33,95.0
100,94.27,135.75,96.35,96.0
101,138.76,15.13,23.48,97.0
102,38.12,67.9,68.31,98.0
103,81.41,138.81,37.42,4.0
104,126.69,136.87,26.07,99.0
105,42.77,23.86,86.78,100.0
106,86.89,139.0,77.35,101.0
107,66.29,127.58,37.68,102.0
108,53.67,126.82,102.2,103.0
109,32.36,70.95,97.44,104.0
110,46.29,25.56,134.43,105.0
111,62.31,33.39,136.75,106.0
112,75.32,63.79,43.94,107.0
113,75.29,117.51,83.69,108.0
114,133.39,82.45,62.38,109.0
115,102.26,61.68,98.41,110.0
116,72.61,97.05,71.84,111.0
117,78.95,123.59,96.82,72.0
118,98.21,26.16,61.18,112.0
119,111.64,124.87,113.06,113.0
120,77.76,77.05,51.56,114.0
121,119.05,84.71,60.78,115.0
122,77.19,39.01,33.42,116.0
123,123.44,84.6,62.33,117.0
124,55.52,0.55,0.2,118.0
125,70.34,79.95,11.75,119.0
126,82.69,66.94,25.15,120.0
127,82.76,33.86,60.77,121.0
128,74.28,119.48,106.22,23.0
129,58.31,43.55,75.88,122.0
130,13.79,77.11,38.64,123.0
131,66.71,53.77,98.93,124.0
132,75.36,123.41,73.59,125.0
133,30.26,12.07,57.89,126.0
134,58.48,83.64,108.52,127.0
135,139.49,128.53,101.35,128.0
136,28.87,87.37,82.16,129.0
137,24.99,141.15,81.35,130.0
138,56.57,53.1,38.1,131.0
139,27.24,69.97,68.52,132.0
140,89.75,84.88,22.56,133.0
141,103.61,141.06,49.84,134.0
142,68.11,79.67,106.1,135.0
143,21.58,39.79,120.05,136.0
144,133.61,4.19,77.86,137.0
145,128.88,59.93,68.62,138.0
146,48.45,81.33,72.64,45.0
147,82.48,115.68,18.07,139.0
148,79.18,94.7,104.58,140.0
149,71.68,60.4,115.96,141.0
150,68.31,136.15,72.16,142.0
151,59.69,94.28,127.93,143.0
152,40.61,59.24,37.12,144.0
153,122.88,51.22,97.07,145.0
154,74.76,26.75,97.83,146.0
155,65.35,2.98,41.95,147.0
156,119.02,84.3,86.83,148.0
157,76.2,72.29,121.95,149.0
158,73.51,46.68,71.89,150.0
159,64.42,118.11,113.49,151.0
160,105.65,60.02,122.15,152.0
161,90.31,89.97,63.42,153.0
162,70.3,93.61,1.11,154.0
163,75.83,59.6,14.66,155.0
164,46.5,15.4,19.12,156.0
165,64.14,102.18,130.91,157.0
166,69.51,56.96,52.42,158.0
167,110.43,12.34,125.77,159.0
168,55.33,48.99,127.24,160.0
169,20.46,123.86,12.8,161.0
170,133.15,61.33,118.21,162.0
171,108.69,115.76,111.02,163.0
172,70.72,80.83,38.94,164.0
173,107.99,6.09,83.59,165.0
174,44.19,3.23,104.97,166.0
175,29.19,136.88,59.62,167.0
176,125.68,86.15,7.96,168.0
177,70.09,56.79,2.6,169.0
178,130.76,86.47,24.25,170.0
179,60.07,41.59,121.59,171.0
180,55.07,19.74,49.73,172.0
181,54.34,19.17,112.52,173.0
182,80.02,136.18,45.22,174.0
183,136.6,79.7,48.85,175.0
184,9.94,96.4,26.77,176.0
185,120.23,20.45,71.98,177.0
186,119.06,64.31,27.01,178.0
187,54.87,4.59,46.99,179.0
188,45.54,57.03,93.82,180.0
189,47.37,5.14,107.31,181.0
190,104.82,52.14,129.44,182.0
191,34.5,90.12,138.39,183.0
192,53.56,123.8,136.87,184.0
193,109.3,3.08,2.1,185.0
194,122.27,109.13,43.21,186.0
195,113.18,138.92,11.66,187.0
196,74.58,61.21,44.77,188.0
197,57.91,44.48,74.54,122.0
198,77.29,100.94,14.31,189.0
199,54.37,9.52,123.63,190.0
200,93.2,75.85,44.23,191.0
201,127.39,137.43,80.48,192.0
202,40.57,123.54,42.61,193.0
203,135.03,68.94,73.77,194.0
204,27.03,58.09,108.65,195.0
205,24.03,67.24,95.79,196.0
206,37.93,82.04,125.26,197.0
207,135.8,88.54,122.8,198.0
208,108.31,37.66,69.97,199.0
209,117.53,126.61,99.42,200.0
210,38.67,5.77,15.62,201.0
211,135.64,12.98,29.25,202.0
212,132.89,5.37,28.88,203.0
213,87.2,119.39,87.7,204.0
214,27.48,44.24,133.4,205.0
215,63.51,107.6,125.84,29.0
216,106.94,92.61,34.85,206.0
217,109.2,55.36,73.21,207.0
218,69.56,57.11,52.11,158.0
219,9.92,38.88,64.87,208.0
220,31.34,14.03,124.46,209.0
221,131.19,95.59,26.11,210.0
222,129.83,107.76,135.68,211.0
223,113.9,104.6,70.31,212.0
224,25.56,134.48,9.08,213.0
